Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
134.221.98.142-248.197.0.20-0-0-0,134.221.98.142,0,248.197.0.20,0,0,09/12/2024 03:39:07 PM,90009223,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04443989034323738,3.0003074333333332E7,24577.63189026423,3.0026701E7,2.9977645E7,5.9982522E7,2.9991261E7,19255.93186527206,3.0004877E7,2.9977645E7,0,0,0,0,0,0,0,0,0,0,0,0.03332991775742803,0.011109972585809345,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,3.0003074333333332E7,24577.63189026423,3.0026701E7,2.9977645E7,No Label
192.168.1.27-35.73.6.249-56234-443-6,192.168.1.27,56234,35.73.6.249,443,6,09/12/2024 03:46:58 PM,427678,13,15,2271.0,5994.0,1452.0,0.0,174.69230769230768,393.61198843010027,1452.0,0.0,399.59999999999997,604.801951055054,19325.28678117649,65.46981607658098,15839.92592592593,37948.59120413981,105454.0,0.0,322434.0,26869.5,47694.775319925575,107863.0,0.0,426555.0,30468.214285714286,49541.80193794168,107075.0,0.0,0,0,0,0,260,324,30.39670032126974,35.073115755311235,0.0,1452.0,284.99999999999994,514.6623025968443,264877.28571428574,0,1,0,0,0,0,0,0,1.0,295.17857142857144,174.69230769230768,399.6,0,0,0,0,0,0,13,2271,15,5994,-1,123,7,0,0,0,0,0,0,0,0,0,No Label
134.221.98.132-94.229.0.20-0-0-0,134.221.98.132,0,94.229.0.20,0,0,09/12/2024 03:44:59 PM,64013082,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1718398748555803,6401308.199999999,9651087.252692446,2.9727316E7,0.0,5.3008798E7,5889866.444444444,1.009176536955023E7,2.9727316E7,0.0,0,0,0,0,0,0,0,0,0,0,0,0.15621806805052754,0.015621806805052756,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,1,0,-1,-1,0,0,1274187.0,0.0,1274187.0,1274187.0,1.568472375E7,9361731.493034339,2.9727316E7,1.0993989E7,No Label
134.221.98.132-94.229.0.45-0-0-0,134.221.98.132,0,94.229.0.45,0,0,09/12/2024 03:44:59 PM,64010578,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07811208953620136,1.60026445E7,9999130.554985752,3.1001338E7,1.0996327E7,5.3007649E7,1.7669216333333332E7,1.1545958068931064E7,3.1001338E7,1.0996327E7,0,0,0,0,0,0,0,0,0,0,0,0.06248967162896108,0.01562241790724027,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,1,0,-1,-1,0,0,0,0,0,0,1.60026445E7,9999130.554985752,3.1001338E7,1.0996327E7,No Label
134.221.98.132-94.229.0.52-0-0-0,134.221.98.132,0,94.229.0.52,0,0,09/12/2024 03:44:22 PM,71016627,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05632483784396012,2.3672209E7,3.75856045009395E7,6.7011267E7,9641.0,7.1006986E7,3.5503493E7,4.4558721310986385E7,6.7011267E7,3995719.0,0,0,0,0,0,0,0,0,0,0,0,0.04224362838297009,0.01408120946099003,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,4005360.0,0.0,4005360.0,4005360.0,6.7011267E7,0.0,6.7011267E7,6.7011267E7,No Label
192.168.1.42-224.0.0.251-5353-5353-17,192.168.1.42,5353,224.0.0.251,5353,17,09/12/2024 03:44:05 PM,92468101,54,1,5994.0,77.0,462.0,45.0,111.00000000000001,139.00373281264447,77.0,77.0,77.0,0.0,65.65507385081911,0.5947997136872097,1712372.240740741,2869530.960029991,1.9968638E7,612.0,9.143115E7,1725116.0377358492,2895448.0822246,1.9968638E7,612.0,0,0,0,0,0,0,0,0,0,432,8,0.5839851734383514,0.01081454024885836,45.0,462.0,109.78571428571428,136.6014394022012,18659.953246753248,0,0,0,0,0,0,0,0,0.0,111.78181818181818,111.0,77.0,0,0,0,0,0,0,54,5994,1,77,-1,-1,54,0,3.2151966E7,3.4902718594476305E7,5.6831915E7,7472017.0,1.40820845E7,8324843.795334811,1.9968638E7,8195531.0,No Label
