Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
152.199.40.78-192.168.1.27-443-51951-6,192.168.1.27,51951,152.199.40.78,443,6,10/12/2024 01:36:43 PM,119725,7,11,556.0,4975.0,248.0,0.0,79.42857142857143,105.15204411209693,1412.0,0.0,452.2727272727273,604.2203390997511,46197.53602004594,150.34453956984757,7042.647058823531,12532.591142403357,30687.0,0.0,91563.0,15260.5,15994.254702861275,31264.0,77.0,119725.0,11972.500000000002,15210.66628864247,32254.0,0.0,0,0,0,0,140,244,58.46732094382961,91.87721862601796,0.0,1412.0,291.1052631578948,494.4851300692966,244515.5438596492,0,1,0,0,0,0,0,0,1.0,307.27777777777777,79.42857142857143,452.27272727272725,0,0,0,0,0,0,7,556,11,4975,-1,133,3,0,0,0,0,0,0,0,0,0,No Label
152.199.40.78-192.168.1.27-443-51951-6,192.168.1.27,51951,152.199.40.78,443,6,10/12/2024 01:36:44 PM,67,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,462686.5671641791,44776.119402985074,33.5,16.263455967290593,45.0,22.0,22.0,22.0,0.0,22.0,22.0,0,0,0,0,0,0,0,0,0,40,20,29850.746268656716,14925.373134328358,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,253,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.27-72.25.64.32-51952-443-6,192.168.1.27,51952,72.25.64.32,443,6,10/12/2024 01:36:45 PM,1260023,8,13,1484.0,4276.0,725.0,0.0,185.5,257.51893134292084,1330.0,0.0,328.9230769230769,490.58680195905214,4571.345126239759,16.66636243941579,63001.15,126712.1146757795,310415.0,0.0,623942.0,89134.57142857143,150716.48758939983,310042.0,316.0,1260023.0,105001.91666666669,152023.45668437207,311744.0,0.0,0,0,0,0,160,284,6.349090453110777,10.317271986305013,0.0,1330.0,261.8181818181818,409.7619095411657,167904.82251082247,0,1,0,0,0,0,0,0,1.0,274.2857142857143,185.5,328.9230769230769,0,0,0,0,0,0,8,1484,13,4276,-1,512,4,0,0,0,0,0,0,0,0,0,No Label
192.168.1.27-72.25.64.32-51952-443-6,192.168.1.27,51952,72.25.64.32,443,6,10/12/2024 01:36:46 PM,102,2,1,85.0,0.0,85.0,0.0,42.5,60.10407640085654,0.0,0.0,0.0,0.0,833333.3333333334,29411.764705882353,51.0,41.012193308819754,80.0,22.0,22.0,22.0,0.0,22.0,22.0,0,0,0,0,0,0,0,0,0,40,20,19607.843137254902,9803.921568627451,0.0,85.0,21.25,42.5,1806.2499999999998,0,0,0,0,1,0,0,0,0.0,28.333333333333332,42.5,0.0,0,0,0,0,0,0,2,85,1,0,-1,252,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.27-13.67.9.5-51457-443-6,13.67.9.5,443,192.168.1.27,51457,6,10/12/2024 01:35:13 PM,94933308,2,5,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.5477225575051661,0.021067421352261317,0.07373597473291461,1.5822217999999998E7,2.268254525059148E7,4.5012121E7,46.0,4.5043196E7,4.5043196E7,0.0,4.5043196E7,4.5043196E7,9.4933308E7,2.3733327E7,2.466945936182903E7,4.5043881E7,46.0,0,0,0,0,64,100,0.021067421352261317,0.052668553380653294,0.0,1.0,0.25000000000000006,0.46291004988627577,0.21428571428571433,1,0,0,0,1,0,0,0,2.0,0.2857142857142857,0.0,0.4,0,0,0,0,0,0,2,0,5,2,-1,251,0,0,21552.5,30414.78397917697,43059.0,46.0,4.50064715E7,7989.599520626801,4.5012121E7,4.5000822E7,No Label
192.168.1.27-23.200.145.58-51890-443-6,23.200.145.58,443,192.168.1.27,51890,6,10/12/2024 01:36:48 PM,0,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,1,0,1,24,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.27-23.200.145.58-51890-443-6,192.168.1.27,51890,23.200.145.58,443,6,10/12/2024 01:36:48 PM,84,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23809.52380952381,84.0,0.0,84.0,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,11904.761904761905,11904.761904761905,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1023,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.27-3.215.8.187-51959-443-6,192.168.1.27,51959,3.215.8.187,443,6,10/12/2024 01:36:48 PM,950483,12,14,1719.0,5995.0,1164.0,0.0,143.24999999999997,328.43156890674413,1412.0,0.0,428.21428571428567,612.1495768156705,8115.873718940791,27.354513442113117,38019.32000000001,87597.54791360696,236530.0,0.0,715628.0,65057.090909090904,110505.7562550065,243690.0,43.0,949307.0,73023.61538461539,112723.12046229206,237681.0,0.0,0,0,0,0,240,304,12.625160050206054,14.729353391907063,0.0,1412.0,285.7037037037037,506.4000254294877,256440.98575498577,0,1,0,0,0,0,0,0,1.0,296.6923076923077,143.25,428.2142857142857,0,0,0,0,0,0,12,1719,14,5995,-1,119,6,0,0,0,0,0,0,0,0,0,No Label
192.168.1.27-3.215.8.187-51959-443-6,3.215.8.187,443,192.168.1.27,51959,6,10/12/2024 01:36:49 PM,0,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,119,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.27-199.232.214.172-51811-80-6,199.232.214.172,80,192.168.1.27,51811,6,10/12/2024 01:34:51 PM,119727837,971,825,1333440.0,2266.0,1386.0,0.0,1373.264675592174,114.52214920318393,1386.0,0.0,2.746666666666668,52.85504142965681,11156.185841727016,15.000688603436476,66700.74484679678,109304.7480694541,1049112.0,0.0,1.19351817E8,123043.11030927835,130382.04805682992,1049181.0,0.0,1.19727837E8,145300.7730582523,130429.17991354268,1049164.0,11.0,0,0,0,0,31072,30544,8.110060486601792,6.890628116834685,0.0,1386.0,744.0690038953796,689.2542980937515,475071.4874407101,0,0,0,0,1,0,0,0,0.0,744.4832962138084,1373.264675592173,2.7466666666666666,0,0,0,0,0,0,971,1333440,825,2266,-1,36,970,0,0,0,0,0,0,0,0,0,No Label
